method,Precision_at_10,NDCG_at_10,MRR,Privileged_Rate,SPD,SRR
Baseline,0.455,0.724,0.689,0.608,0.028,2.107
MMR_λ=0.3,0.353,0.68,0.681,0.592,0.012,2.025
MMR_λ=0.5,0.396,0.702,0.708,0.589,0.009,2.03
MMR_λ=0.7,0.441,0.732,0.704,0.589,0.009,1.917
MMR_λ=0.9,0.463,0.741,0.709,0.609,0.029,2.273
