query_id,query_type,primary_cat,region,query_privilege,lambda,n_candidates,precision_at_10,ndcg_at_10,mrr,srr,spd,privileged_count,privileged_pct,corpus_baseline
cs_neutral_010,neutral,Machine Learning,Unknown,Unknown,0.3,50,0.7,0.934109,1.0,4.0,0.22,8,80.0,0.58
cs_neutral_010,neutral,Machine Learning,Unknown,Unknown,0.5,50,0.8,0.978292,1.0,1.0,-0.08,5,50.0,0.58
cs_neutral_010,neutral,Machine Learning,Unknown,Unknown,0.7,50,1.0,1.0,1.0,0.428571,-0.28,3,30.0,0.58
cs_neutral_010,neutral,Machine Learning,Unknown,Unknown,0.9,50,1.0,1.0,1.0,0.428571,-0.28,3,30.0,0.58
cs_neutral_011,neutral,Machine Learning,Unknown,Unknown,0.3,50,0.8,0.913528,1.0,4.0,0.22,8,80.0,0.58
cs_neutral_011,neutral,Machine Learning,Unknown,Unknown,0.5,50,0.7,0.988801,1.0,4.0,0.22,8,80.0,0.58
cs_neutral_011,neutral,Machine Learning,Unknown,Unknown,0.7,50,0.7,0.890863,1.0,9.0,0.32,9,90.0,0.58
cs_neutral_011,neutral,Machine Learning,Unknown,Unknown,0.9,50,0.7,0.877527,1.0,9.0,0.32,9,90.0,0.58
cs_neutral_012,neutral,Machine Learning,Unknown,Unknown,0.3,50,0.7,0.804581,0.5,1.0,-0.08,5,50.0,0.58
cs_neutral_012,neutral,Machine Learning,Unknown,Unknown,0.5,50,0.8,0.823201,0.5,1.0,-0.08,5,50.0,0.58
cs_neutral_012,neutral,Machine Learning,Unknown,Unknown,0.7,50,0.6,0.699572,0.5,0.666667,-0.18,4,40.0,0.58
cs_neutral_012,neutral,Machine Learning,Unknown,Unknown,0.9,50,0.6,0.69303,0.333333,0.666667,-0.18,4,40.0,0.58
cs_neutral_013,neutral,Machine Learning,Unknown,Unknown,0.3,50,0.1,1.0,1.0,1.5,0.02,6,60.0,0.58
cs_neutral_013,neutral,Machine Learning,Unknown,Unknown,0.5,50,0.2,0.806574,1.0,9.0,0.32,9,90.0,0.58
cs_neutral_013,neutral,Machine Learning,Unknown,Unknown,0.7,50,0.4,0.95583,1.0,4.0,0.22,8,80.0,0.58
cs_neutral_013,neutral,Machine Learning,Unknown,Unknown,0.9,50,0.4,1.0,1.0,2.333333,0.12,7,70.0,0.58
cs_neutral_014,neutral,Machine Learning,Unknown,Unknown,0.3,50,0.4,0.750868,1.0,0.666667,-0.18,4,40.0,0.58
cs_neutral_014,neutral,Machine Learning,Unknown,Unknown,0.5,50,0.6,0.668846,0.333333,1.0,-0.08,5,50.0,0.58
cs_neutral_014,neutral,Machine Learning,Unknown,Unknown,0.7,50,1.0,1.0,1.0,2.333333,0.12,7,70.0,0.58
cs_neutral_014,neutral,Machine Learning,Unknown,Unknown,0.9,50,1.0,1.0,1.0,2.333333,0.12,7,70.0,0.58
cs_neutral_015,neutral,Machine Learning,Unknown,Unknown,0.3,50,0.6,0.81474,1.0,9.0,0.32,9,90.0,0.58
cs_neutral_015,neutral,Machine Learning,Unknown,Unknown,0.5,50,0.7,0.901471,1.0,1.0,-0.08,5,50.0,0.58
cs_neutral_015,neutral,Machine Learning,Unknown,Unknown,0.7,50,0.7,0.945308,1.0,1.0,-0.08,5,50.0,0.58
cs_neutral_015,neutral,Machine Learning,Unknown,Unknown,0.9,50,0.9,0.950421,1.0,0.428571,-0.28,3,30.0,0.58
cs_neutral_016,neutral,Machine Learning,Unknown,Unknown,0.3,50,0.4,0.564607,0.333333,0.666667,-0.18,4,40.0,0.58
cs_neutral_016,neutral,Machine Learning,Unknown,Unknown,0.5,50,0.5,0.622778,0.333333,1.0,-0.08,5,50.0,0.58
cs_neutral_016,neutral,Machine Learning,Unknown,Unknown,0.7,50,0.4,0.667708,0.5,1.5,0.02,6,60.0,0.58
cs_neutral_016,neutral,Machine Learning,Unknown,Unknown,0.9,50,0.4,0.705357,0.5,1.5,0.02,6,60.0,0.58
cs_neutral_017,neutral,Machine Learning,Unknown,Unknown,0.3,50,0.2,0.524981,0.333333,0.666667,-0.18,4,40.0,0.58
cs_neutral_017,neutral,Machine Learning,Unknown,Unknown,0.5,50,0.2,0.524981,0.333333,1.0,-0.08,5,50.0,0.58
cs_neutral_017,neutral,Machine Learning,Unknown,Unknown,0.7,50,0.2,0.491149,0.333333,0.666667,-0.18,4,40.0,0.58
cs_neutral_017,neutral,Machine Learning,Unknown,Unknown,0.9,50,0.2,0.44158,0.2,1.0,-0.08,5,50.0,0.58
cs_neutral_018,neutral,Machine Learning,Unknown,Unknown,0.3,50,0.3,0.53169,0.25,1.5,0.02,6,60.0,0.58
cs_neutral_018,neutral,Machine Learning,Unknown,Unknown,0.5,50,0.7,0.744977,0.5,4.0,0.22,8,80.0,0.58
cs_neutral_018,neutral,Machine Learning,Unknown,Unknown,0.7,50,0.8,0.820174,0.5,1.5,0.02,6,60.0,0.58
cs_neutral_018,neutral,Machine Learning,Unknown,Unknown,0.9,50,0.7,0.802958,0.5,2.333333,0.12,7,70.0,0.58
cs_neutral_019,neutral,Machine Learning,Unknown,Unknown,0.3,50,0.5,0.941577,1.0,0.666667,-0.18,4,40.0,0.58
cs_neutral_019,neutral,Machine Learning,Unknown,Unknown,0.5,50,0.8,0.993322,1.0,1.0,-0.08,5,50.0,0.58
cs_neutral_019,neutral,Machine Learning,Unknown,Unknown,0.7,50,0.9,0.950421,1.0,0.666667,-0.18,4,40.0,0.58
cs_neutral_019,neutral,Machine Learning,Unknown,Unknown,0.9,50,0.9,0.950421,1.0,0.666667,-0.18,4,40.0,0.58
cs_neutral_020,neutral,Natural Language Processing,Unknown,Unknown,0.3,50,0.3,0.777706,1.0,2.333333,0.12,7,70.0,0.58
cs_neutral_020,neutral,Natural Language Processing,Unknown,Unknown,0.5,50,0.3,0.851959,1.0,1.5,0.02,6,60.0,0.58
cs_neutral_020,neutral,Natural Language Processing,Unknown,Unknown,0.7,50,0.7,0.981544,1.0,1.0,-0.08,5,50.0,0.58
cs_neutral_020,neutral,Natural Language Processing,Unknown,Unknown,0.9,50,0.8,0.985151,1.0,1.0,-0.08,5,50.0,0.58
cs_neutral_021,neutral,Natural Language Processing,Unknown,Unknown,0.3,50,0.4,0.710675,0.5,1.5,0.02,6,60.0,0.58
cs_neutral_021,neutral,Natural Language Processing,Unknown,Unknown,0.5,50,0.4,0.657402,0.5,4.0,0.22,8,80.0,0.58
cs_neutral_021,neutral,Natural Language Processing,Unknown,Unknown,0.7,50,0.6,0.708465,0.5,9.0,0.32,9,90.0,0.58
cs_neutral_021,neutral,Natural Language Processing,Unknown,Unknown,0.9,50,0.5,0.673245,0.5,9.0,0.32,9,90.0,0.58
cs_neutral_022,neutral,Natural Language Processing,Unknown,Unknown,0.3,50,0.4,0.570243,0.333333,1.0,-0.08,5,50.0,0.58
cs_neutral_022,neutral,Natural Language Processing,Unknown,Unknown,0.5,50,0.4,0.615219,0.333333,0.666667,-0.18,4,40.0,0.58
cs_neutral_022,neutral,Natural Language Processing,Unknown,Unknown,0.7,50,0.5,0.767833,0.5,1.0,-0.08,5,50.0,0.58
cs_neutral_022,neutral,Natural Language Processing,Unknown,Unknown,0.9,50,0.7,0.769791,0.5,0.428571,-0.28,3,30.0,0.58
cs_neutral_023,neutral,Natural Language Processing,Unknown,Unknown,0.3,50,0.3,0.921787,1.0,4.0,0.22,8,80.0,0.58
cs_neutral_023,neutral,Natural Language Processing,Unknown,Unknown,0.5,50,0.2,0.877215,1.0,2.333333,0.12,7,70.0,0.58
cs_neutral_023,neutral,Natural Language Processing,Unknown,Unknown,0.7,50,0.3,0.906628,1.0,9.0,0.32,9,90.0,0.58
cs_neutral_023,neutral,Natural Language Processing,Unknown,Unknown,0.9,50,0.3,0.851959,1.0,9.0,0.32,9,90.0,0.58
cs_neutral_024,neutral,Natural Language Processing,Unknown,Unknown,0.3,50,0.1,1.0,1.0,1.5,0.02,6,60.0,0.58
cs_neutral_024,neutral,Natural Language Processing,Unknown,Unknown,0.5,50,0.3,0.758587,1.0,1.5,0.02,6,60.0,0.58
cs_neutral_024,neutral,Natural Language Processing,Unknown,Unknown,0.7,50,0.3,1.0,1.0,1.5,0.02,6,60.0,0.58
cs_neutral_024,neutral,Natural Language Processing,Unknown,Unknown,0.9,50,0.3,1.0,1.0,1.5,0.02,6,60.0,0.58
cs_neutral_025,neutral,Natural Language Processing,Unknown,Unknown,0.3,50,0.1,1.0,1.0,9.0,0.32,9,90.0,0.58
cs_neutral_025,neutral,Natural Language Processing,Unknown,Unknown,0.5,50,0.1,1.0,1.0,9.0,0.32,9,90.0,0.58
