lambda,avg_relevance,intra_list_div,mmr_score,ndcg_at_10,mrr,base_avg_rel,base_ild,base_ndcg,base_mrr,mmr_privileged_pct,base_privileged_pct
0.3,0.458183,0.677669,0.611823,0.971717,0.98,0.558734,0.495453,0.989282,0.943429,61.9,61.8
0.5,0.516943,0.619155,0.568049,0.977234,0.98,0.558734,0.495453,0.989282,0.943429,61.0,61.8
0.7,0.566584,0.529261,0.555387,0.994856,0.98,0.558734,0.495453,0.989282,0.943429,62.5,61.8
0.9,0.577824,0.478136,0.567855,0.999591,0.98,0.558734,0.495453,0.989282,0.943429,62.6,61.8
