lambda,precision_at_10,ndcg_at_10,mrr,srr,spd,privileged_pct
0.3,0.371,0.7245,0.767,2.3605,0.039,61.9
0.5,0.461,0.7765,0.7944,2.4471,0.03,61.0
0.7,0.583,0.8417,0.8302,2.5252,0.045,62.5
0.9,0.6,0.8413,0.8197,2.5317,0.046,62.6
