priv_group,std_faithfulness,std_answer_relevancy,std_context_relevancy,bal_faithfulness,bal_answer_relevancy,bal_context_relevancy
High Privileged (>=0.6),0.9322,0.7748,0.0555,0.967,0.8884,0.0555
Low Privileged (<0.6),0.9343,0.7983,0.0595,0.9506,0.9333,0.0595
